lambda,pct_fast,pct_balanced,pct_heavy,balanced_routing_acc,random_baseline_mean,random_baseline_std
0.05,0.67,30.5,68.83,0.9917,0.9443,0.0505
0.1,9.17,35.83,55.0,0.9782,0.9473,0.0133
0.15,23.67,38.17,38.17,0.9734,0.9467,0.0059
0.2,42.5,32.5,25.0,0.9678,0.9449,0.005
0.25,58.67,23.83,17.5,0.9619,0.9467,0.0045
0.3,76.0,14.33,9.67,0.9569,0.9453,0.0076
0.35,89.17,5.0,5.83,0.941,0.947,0.0082
0.4,94.5,2.83,2.67,0.9612,0.9481,0.0113
0.45,98.5,0.33,1.17,0.9577,0.9548,0.0066
0.5,100.0,0.0,0.0,0.8717,0.8717,0.0
0.55,100.0,0.0,0.0,0.8717,0.8717,0.0
0.6,100.0,0.0,0.0,0.8717,0.8717,0.0
0.65,100.0,0.0,0.0,0.8717,0.8717,0.0
0.7,100.0,0.0,0.0,0.8717,0.8717,0.0
0.75,100.0,0.0,0.0,0.8717,0.8717,0.0
0.8,100.0,0.0,0.0,0.8717,0.8717,0.0
0.85,100.0,0.0,0.0,0.8717,0.8717,0.0
0.9,100.0,0.0,0.0,0.8717,0.8717,0.0
0.95,100.0,0.0,0.0,0.8717,0.8717,0.0
